# x_m,y_m,w_tr_right_m,w_tr_left_m
0.783157894736842,-1.4,0.7,0.7
0.8336842105263158,-1.4,0.7,0.7
0.8842105263157896,-1.4,0.7,0.7
0.9347368421052629,-1.4,0.7,0.7
0.9852631578947366,-1.4,0.7,0.7
1.0357894736842104,-1.4,0.7,0.7
1.0863157894736846,-1.4,0.7,0.7
1.1368421052631579,-1.4,0.7,0.7
1.1873684210526316,-1.4,0.7,0.7
1.2378947368421054,-1.4,0.7,0.7
1.2884210526315787,-1.4,0.7,0.7
1.3389473684210524,-1.4,0.7,0.7
1.3894736842105262,-1.4,0.7,0.7
1.4399999999999995,-1.4,0.7,0.7
1.4905263157894733,-1.4,0.7,0.7
1.5410526315789475,-1.4,0.7,0.7
1.5915789473684212,-1.4,0.7,0.7
1.642105263157894,-1.4,0.7,0.7
1.6926315789473683,-1.4,0.7,0.7
1.7431578947368425,-1.4,0.7,0.7
1.7936842105263158,-1.4,0.7,0.7
1.844210526315789,-1.4,0.7,0.7
1.8947368421052633,-1.4,0.7,0.7
1.9452631578947366,-1.4,0.7,0.7
1.99578947368421,-1.4,0.7,0.7
2.046315789473684,-1.4,0.7,0.7
2.0968421052631583,-1.4,0.7,0.7
2.1473684210526316,-1.4,0.7,0.7
2.197894736842105,-1.4,0.7,0.7
2.248421052631579,-1.4,0.7,0.7
2.2989473684210524,-1.4,0.7,0.7
2.3494736842105257,-1.4,0.7,0.7
